CLNT_ID,REQUEST_REFERENCE,APPL_ID,CLNT_NAME,STATUS_SIMF,SERVICE,SUBSERVICE,FREQ,FREQ_PAIR,ERP_PWR_DBM,BWIDTH,ZONA,HGT_ANT,MASTER_PLZN_CODE,SITE_ID_CODE,SITE_DESC,STATUS_MYSPECTRA,STN_NAME,STN_ADDR,SID_LONG,SID_LAT,PLUS_CODE_MYSPECTRA,PLUS_CODE_KALKULASI,LONGITUDE_CENTER_KALKULASI,LATITUDE_CENTER_KALKULASI,VILLAGE,DISTRICT,CITY,PROVINSI,APPL_DATE,LICENCE_DATE,VALIDITY_DATE,UPT,Status Verifikasi UPT 2024
00105553,0350340,026164012016,TELEKOMUNIKASI INDONESIA TBK,Granted,Fixed Service,PP,14473,14963,56.1103,28000,4,40,V,,,Belum ada MDRS di MySpectra,KDI007_POASI,"JL. KANCIL, KEL. ANDUONOHU, KEC. POASIA, KOTA KENDARI, PROVINSI SULAWESI TENGGARA",122.5391667,-4.0030556,,6Q74XGWQ+QM,122.5391875,-4.0030625,,POASIA,KOTA KENDARI,SULAWESI TENGGARA,1/8/2016,1/14/2016,1/13/2026,LOKA KENDARI,Data hasil rekap UPT 2024
00105553,0193676,027246052015,TELEKOMUNIKASI INDONESIA TBK,Granted,Fixed Service,PP,23058,22050,53.9103,28000,5,40,H,,,Belum ada MDRS di MySpectra,RHA001_MUNA,"JL.JEND. BASUKI RAHMAT, KEL. MANGGA KUNING, KEC. KATOBU, KAB. MUNA",122.7194444,-4.8430556,,6Q745P49+QQ,122.7194375,-4.8430625,,DURUKA,MUNA,SULAWESI TENGGARA,6/1/2015,6/18/2015,6/17/2025,LOKA KENDARI,Bukan termasuk data hasil  rekap UPT 2024
00105553,0334734,023964122015,TELEKOMUNIKASI INDONESIA TBK,Granted,Fixed Service,PP,7135,7296,59.4897,28000,5,40,H,,,Belum ada MDRS di MySpectra,ADL005_TINANGGEA,"JL. LAPOA RT III KEL. NGAPAAHA, KEC. TINANGGEA, KAB. KONAWE SELATAN, PROVINSI SULAWESI UTARA",122.2262222,-4.4590833,,6Q74G6RG+9F,122.2261875,-4.4590625,,TINANGGEA,KONAWE SELATAN,SULAWESI TENGGARA,12/11/2015,12/17/2015,12/16/2025,LOKA KENDARI,Bukan termasuk data hasil  rekap UPT 2024
8071,0065207-2,00249112009,"TELEKOMUNIKASI SELULAR, PT.",Granted,Fixed Service,PP,6500,6840,62.4381,40000,5,52,V,,,Belum ada MDRS di MySpectra,10/TOSIBA,JL. POROS KOLAKA  LASUSUA KM 37 DESA AWA KEC. SAMATURU  KAB. KOLAKA,121.3560000,-3.9560556,,6Q8329V4+H9,121.3559375,-3.9560625,,SAMATURU,KOLAKA,SULAWESI TENGGARA,11/26/2009,12/11/2009,12/10/2024,LOKA KENDARI,Bukan termasuk data hasil  rekap UPT 2024
8071,0065207-12,00249112009,"TELEKOMUNIKASI SELULAR, PT.",Granted,Fixed Service,PP,4670,4970,65.6381,40000,5,65,H,,,Belum ada MDRS di MySpectra,13/POMALA,"JL. SALAK, DEPAN SMA 1 POMALA",121.6036111,-4.1950000,,6Q73RJ43+2C,121.6035625,-4.1949375,,POMALAA,KOLAKA,SULAWESI TENGGARA,11/26/2009,12/11/2009,12/10/2024,LOKA KENDARI,Bukan termasuk data hasil  rekap UPT 2024
00105553,0193632/1,02046415092019,TELEKOMUNIKASI INDONESIA TBK,Granted,Fixed Service,PP,7331,7170,63.3897,28000,4,40,V,,,Belum ada MDRS di MySpectra,KDI009_PERKEN,"PULAU BUNGKOTOKO, KEC. POASIA, KOTA KENDARI, SULAWESI TENGGARA",122.6111111,-3.9808333,,6Q842J96+MC,122.6110625,-3.9808125,,ABELI,KOTA KENDARI,SULAWESI TENGGARA,9/13/2019,10/16/2019,6/17/2025,LOKA KENDARI,Data hasil rekap UPT 2024
00105553,0362681,022864032016,TELEKOMUNIKASI INDONESIA TBK,Granted,Fixed Service,PP,15103,14613,56.1103,28000,5,40,V,,,Belum ada MDRS di MySpectra,ADL008_PUNGGALUKU,"DESA ANDUNA, KEC. LAEYA, KAB. KONAWE SELATAN, PROVINSI SULAWESI TENGGARA",122.4855556,-4.2838889,,6Q74PF8P+C6,122.4855625,-4.2839375,,LAEYA,KONAWE SELATAN,SULAWESI TENGGARA,3/23/2016,4/7/2016,4/6/2026,LOKA KENDARI,Bukan termasuk data hasil  rekap UPT 2024
00105553,0362674,022857032016,TELEKOMUNIKASI INDONESIA TBK,Granted,Fixed Service,PP,7659,7498,59.4897,28000,5,40,V,,,Belum ada MDRS di MySpectra,KKA005_LAPAI,"JL. BERINGIN DS LAWALATU, KEC. WATUNOHU, KAB KOLAKA UTARA, PROVINSI SULAWESI TENGGARA",120.9994444,-3.2952222,,6Q82PX3X+WQ,120.9994375,-3.2951875,,WATUNOHU,KOLAKA UTARA,SULAWESI TENGGARA,3/23/2016,4/7/2016,4/6/2026,LOKA KENDARI,Data hasil rekap UPT 2024
00105553,0198926,020109072015,TELEKOMUNIKASI INDONESIA TBK,Granted,Fixed Service,PP,7310,7149,63.3897,28000,5,40,V,,,Belum ada MDRS di MySpectra,KKA005_LAPAI,"JL. BERINGIN, DESA LAWALATU, KEC. NGAPA, KAB. KOLAKA UTARA, SULAWESI TENGGARA",120.9994444,-3.2952222,,6Q82PX3X+WQ,120.9994375,-3.2951875,,WATUNOHU,KOLAKA UTARA,SULAWESI TENGGARA,7/2/2015,7/7/2015,7/6/2025,LOKA KENDARI,Data hasil rekap UPT 2024
8071,0065207-9,00249112009,"TELEKOMUNIKASI SELULAR, PT.",Granted,Fixed Service,PP,6840,6500,62.4381,40000,5,45,H,,,Belum ada MDRS di MySpectra,6/WOLO,DUSUN III KEL. LANGGOMALI KEC WOLO KAB KOLAKA PROP SULTRA,121.3052222,-3.8201389,,6Q8358H4+W3,121.3051875,-3.8201875,,WOLO,KOLAKA,SULAWESI TENGGARA,11/26/2009,12/11/2009,12/10/2024,LOKA KENDARI,Bukan termasuk data hasil  rekap UPT 2024
8071,0065207-8,00249112009,"TELEKOMUNIKASI SELULAR, PT.",Granted,Fixed Service,PP,7040,6700,66.4381,40000,5,45,V,,,Belum ada MDRS di MySpectra,6/WOLO,DUSUN III KEL. LANGGOMALI KEC WOLO KAB KOLAKA PROP SULTRA,121.3052222,-3.8201389,,6Q8358H4+W3,121.3051875,-3.8201875,,WOLO,KOLAKA,SULAWESI TENGGARA,11/26/2009,12/11/2009,12/10/2024,LOKA KENDARI,Bukan termasuk data hasil  rekap UPT 2024
